CPF,nome,data_nascimento,telefone,endereco,plano
275.641.083-71,Dra. Alícia da Luz,1967-06-11,+55 45 91932-1997,"Feira Lunna Pinto
Vila Cloris
45579-873 Pereira Grande / CE",Sul America
781.462.590-49,Clara Fernandes,2021-08-22,+55 19 94939-9913,"Alameda Lima, 63
Cdi Jatoba
58466-930 Moraes do Galho / SC",Bradesco Saude
974.512.380-32,Pietra da Paz,1931-05-24,+55 87 91974-5792,"Esplanada de Dias
Carlos Prates
76138614 Fogaça / AL",Unimed
064.792.385-83,João Guilherme Monteiro,1974-02-09,+55 71 91935-0806,"Largo de Siqueira
Pongelupe
79802933 Lopes / AM",Bradesco Saude
295.163.408-06,Caroline da Conceição,2006-11-11,+55 44 91992-3255,"Rua de Peixoto, 357
Vila Santa Monica 1ª Seção
52725-210 Garcia da Praia / MT",Hapvida
967.043.521-80,Dra. Maria Helena Almeida,1933-11-09,+55 62 91913-8796,"Estação Guilherme Sales, 87
Vila São Gabriel Jacui
00928252 Rodrigues da Serra / ES",Bradesco Saude
163.482.905-06,Fernanda Martins,1945-05-24,+55 22 91953-6831,"Passarela de Mendes, 475
São Damião
97755-061 Gomes / DF",Unimed
820.961.473-87,José Miguel da Mata,1992-03-03,+55 84 94987-0008,"Viela de Gomes, 19
Parque São Pedro
73021-248 Nascimento dos Dourados / RO",Bradesco Saude
930.217.684-31,Laís Mendes,1959-07-21,+55 41 91980-7858,"Largo Maria Flor Sampaio, 19
Tres Marias
16468-503 Moraes / GO",Bradesco Saude
157.682.304-08,Daniel da Mata,1952-09-14,+55 64 91961-6460,"Largo de Andrade
Olaria
40298-599 Nascimento / PI",Unimed
502.643.718-44,Heloisa Freitas,1938-07-08,+55 62 91906-6834,"Favela Mariana Pereira
Serra Do Curral
53591745 Abreu / GO",Hapvida
467.328.915-37,Bruno Dias,1974-07-12,+55 34 94941-1805,"Passarela de Guerra, 59
São Geraldo
69259575 Caldeira / PE",Unimed
985.473.061-10,Isabelly Rocha,1925-10-18,+55 79 91988-4692,"Núcleo Stella Novais
Vila Batik
14869-532 Rocha / MT",Sul America
179.385.024-05,Arthur Moraes,2017-09-19,+55 69 94979-5623,"Morro Valentina Silva, 90
Dona Clara
68058-717 Alves / RO",Bradesco Saude
094.835.261-24,Oliver Moreira,1935-01-31,+55 44 91954-1698,"Ladeira Aragão, 53
Mangueiras
44622-754 Campos de Campos / MA",Sul America
948.651.270-11,Ana Julia Vasconcelos,1945-06-18,+55 68 91950-4520,"Setor Isaac Albuquerque, 36
Flavio Marques Lisboa
65134-969 Duarte / SP",Hapvida
406.597.213-25,Luigi Vasconcelos,1964-02-08,+55 14 91919-8254,"Largo de Viana, 80
Vila Trinta E Um De Março
00832-558 Rodrigues / CE",Sul America
490.673.158-93,Manuella Monteiro,1968-10-16,+55 82 91930-3562,"Lago de Pimenta, 91
Santa Rita
00874195 Garcia / MA",Sul America
851.927.643-19,Emanuella das Neves,2015-10-19,+55 14 91944-3493,"Rodovia das Neves
Aguas Claras
15233-211 Mendes / AM",Bradesco Saude
593.024.816-89,Aylla da Costa,1986-09-19,+55 16 91913-5065,"Condomínio de Marques
Granja Werneck
63102257 Monteiro / AM",Hapvida
640.187.592-58,Dr. Matheus Duarte,1985-07-27,+55 49 91991-4515,"Morro Lopes, 28
Dom Cabral
61382-144 da Cunha da Mata / PE",Hapvida
